[18/Jul/2024:02:39:44 +0000] - 502, 502 502 - GET http localhost "/" [Client 127.0.0.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[18/Jul/2024:02:39:44 +0000] - 502 502 - GET http localhost "/" [Client 192.168.65.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[18/Jul/2024:02:39:46 +0000] - 502 502 - GET http localhost "/" [Client 192.168.65.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[18/Jul/2024:02:39:46 +0000] - 502 502 - GET http localhost "/favicon.ico" [Client 192.168.65.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[18/Jul/2024:02:39:48 +0000] - 502 502 - GET http localhost "/" [Client 192.168.65.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[18/Jul/2024:02:39:48 +0000] - 502 502 - GET http localhost "/favicon.ico" [Client 192.168.65.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[18/Jul/2024:02:40:08 +0000] - 502, 502 502 - GET http localhost "/" [Client 192.168.65.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[18/Jul/2024:02:40:08 +0000] - 502 502 - GET http localhost "/favicon.ico" [Client 192.168.65.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[18/Jul/2024:02:40:39 +0000] - 502, 502 502 - GET http localhost "/" [Client 192.168.65.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[18/Jul/2024:02:40:39 +0000] - 502 502 - GET http localhost "/favicon.ico" [Client 192.168.65.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[18/Jul/2024:02:40:40 +0000] - 502 502 - GET http localhost "/" [Client 192.168.65.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[18/Jul/2024:02:40:40 +0000] - 502 502 - GET http localhost "/favicon.ico" [Client 192.168.65.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[18/Jul/2024:02:40:41 +0000] - 502 502 - GET http localhost "/" [Client 192.168.65.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[18/Jul/2024:02:40:41 +0000] - 502 502 - GET http localhost "/favicon.ico" [Client 192.168.65.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[18/Jul/2024:02:40:41 +0000] - 502 502 - GET http localhost "/" [Client 192.168.65.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[18/Jul/2024:02:40:41 +0000] - 502 502 - GET http localhost "/favicon.ico" [Client 192.168.65.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[18/Jul/2024:02:40:42 +0000] - 502 502 - GET http localhost "/" [Client 192.168.65.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[18/Jul/2024:02:40:42 +0000] - 502 502 - GET http localhost "/favicon.ico" [Client 192.168.65.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[18/Jul/2024:02:41:02 +0000] - 502 502 - GET http localhost "/" [Client 192.168.65.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[18/Jul/2024:02:41:02 +0000] - 200 200 - GET http localhost "/favicon.ico" [Client 192.168.65.1] [Length 9310] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[18/Jul/2024:02:41:03 +0000] - 200 200 - GET http localhost "/" [Client 192.168.65.1] [Length 923] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[18/Jul/2024:02:41:03 +0000] - 200 200 - GET http localhost "/static/js/bundle.js" [Client 192.168.65.1] [Length 838066] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[18/Jul/2024:02:41:03 +0000] - 304 304 - GET http localhost "/static/js/vendors-node_modules_mui_icons-material_AccessTime_js-node_modules_mui_icons-material_Comment-3599e2.chunk.js" [Client 192.168.65.1] [Length 0] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[18/Jul/2024:02:41:03 +0000] - 200 200 - GET http localhost "/static/js/src_components_index_ts.chunk.js" [Client 192.168.65.1] [Length 34323] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[18/Jul/2024:02:41:03 +0000] - 200 200 - GET http localhost "/assets/images/cool-background.svg" [Client 192.168.65.1] [Length 1633] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[18/Jul/2024:02:41:03 +0000] - 304 304 - GET http localhost "/" [Client 192.168.65.1] [Length 0] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[18/Jul/2024:02:41:03 +0000] - 200 200 - GET http localhost "/manifest.json" [Client 192.168.65.1] [Length 514] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[18/Jul/2024:02:41:03 +0000] - 304 304 - GET http localhost "/static/js/bundle.js" [Client 192.168.65.1] [Length 0] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[18/Jul/2024:02:41:03 +0000] - 304 304 - GET http localhost "/static/js/src_components_index_ts.chunk.js" [Client 192.168.65.1] [Length 0] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[18/Jul/2024:02:41:03 +0000] - 304 304 - GET http localhost "/static/js/vendors-node_modules_mui_icons-material_AccessTime_js-node_modules_mui_icons-material_Comment-3599e2.chunk.js" [Client 192.168.65.1] [Length 0] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[18/Jul/2024:02:41:03 +0000] - 304 304 - GET http localhost "/assets/images/cool-background.svg" [Client 192.168.65.1] [Length 0] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[18/Jul/2024:02:41:03 +0000] - 304 304 - GET http localhost "/favicon.ico" [Client 192.168.65.1] [Length 0] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[18/Jul/2024:02:41:03 +0000] - 200 200 - GET http localhost "/manifest.json" [Client 192.168.65.1] [Length 514] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[18/Jul/2024:02:41:04 +0000] - 304 304 - GET http localhost "/" [Client 192.168.65.1] [Length 0] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[18/Jul/2024:02:41:04 +0000] - 304 304 - GET http localhost "/static/js/bundle.js" [Client 192.168.65.1] [Length 0] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[18/Jul/2024:02:41:04 +0000] - 304 304 - GET http localhost "/static/js/vendors-node_modules_mui_icons-material_AccessTime_js-node_modules_mui_icons-material_Comment-3599e2.chunk.js" [Client 192.168.65.1] [Length 0] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[18/Jul/2024:02:41:04 +0000] - 304 304 - GET http localhost "/static/js/src_components_index_ts.chunk.js" [Client 192.168.65.1] [Length 0] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[18/Jul/2024:02:41:04 +0000] - 304 304 - GET http localhost "/assets/images/cool-background.svg" [Client 192.168.65.1] [Length 0] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[18/Jul/2024:02:41:04 +0000] - 304 304 - GET http localhost "/manifest.json" [Client 192.168.65.1] [Length 0] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[18/Jul/2024:02:41:04 +0000] - 304 304 - GET http localhost "/favicon.ico" [Client 192.168.65.1] [Length 0] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[18/Jul/2024:02:43:09 +0000] - 200 200 - GET http 127.0.0.1 "/favicon.ico" [Client 192.168.65.1] [Length 9310] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://127.0.0.1/"
[18/Jul/2024:02:43:11 +0000] - 200 200 - GET http 127.0.0.1 "/" [Client 192.168.65.1] [Length 918] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[18/Jul/2024:02:43:11 +0000] - 200 200 - GET http 127.0.0.1 "/static/js/bundle.js" [Client 192.168.65.1] [Length 838007] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://127.0.0.1/"
[18/Jul/2024:02:43:11 +0000] - 200 200 - GET http 127.0.0.1 "/static/js/src_components_index_ts.chunk.js" [Client 192.168.65.1] [Length 34316] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://127.0.0.1/"
[18/Jul/2024:02:43:11 +0000] - 200 200 - GET http 127.0.0.1 "/static/js/vendors-node_modules_mui_icons-material_AccessTime_js-node_modules_mui_icons-material_Comment-3599e2.chunk.js" [Client 192.168.65.1] [Length 107519] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://127.0.0.1/"
[18/Jul/2024:02:43:11 +0000] - 200 200 - GET http 127.0.0.1 "/assets/images/cool-background.svg" [Client 192.168.65.1] [Length 1639] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://127.0.0.1/"
[18/Jul/2024:02:43:12 +0000] - 304 304 - GET http 127.0.0.1 "/favicon.ico" [Client 192.168.65.1] [Length 0] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://127.0.0.1/"
[18/Jul/2024:02:43:12 +0000] - 200 200 - GET http 127.0.0.1 "/manifest.json" [Client 192.168.65.1] [Length 514] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://127.0.0.1/"
[18/Jul/2024:02:45:15 +0000] - 200 200 - GET http 127.0.0.1 "/api" [Client 192.168.65.1] [Length 12] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[18/Jul/2024:02:46:42 +0000] - 200 200 - GET http 127.0.0.1 "/" [Client 192.168.65.1] [Length 923] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[18/Jul/2024:02:46:42 +0000] - 304 304 - GET http 127.0.0.1 "/static/js/bundle.js" [Client 192.168.65.1] [Length 0] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://127.0.0.1/"
[18/Jul/2024:02:46:42 +0000] - 304 304 - GET http 127.0.0.1 "/static/js/vendors-node_modules_mui_icons-material_AccessTime_js-node_modules_mui_icons-material_Comment-3599e2.chunk.js" [Client 192.168.65.1] [Length 0] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://127.0.0.1/"
